;title;description
130;Aumgentation quota disponible pour le namespace projet-equipe-archi;"En tant que membre de l'équipe archi je souhaite disposer de quota plus élevé dans mon namespace (projet-equipe-archi).

- Passage de 10Gi de request mémoire à 50Gi
- Passage de 8 CPU en request à 16

Merci beaucoup =)

Rémi"
131;permettre l'utilisation des tags et des digest simultannément dans le pipeline de promotion;"En tant qu'utilisateur,  
je souhaite pouvoir utiliser le pipeline de promotion pour des images dont la version est définie avec le tag@digest  
afin de pouvoir utiliser les fonctionnalités de suivi des versions par version sémantique pour le tag et d'utiliser le suivi par digest pour les changements non tracés par un nouveau tag.

Le besoin est d'autant plus utile avec l'utilisation de `renovate` sur le dépôt GitOps afin de suivre la version de logiciel avec le tag et les corrections de CVE de l'image avec les digests."
132;ouverture test proxy;"Demande de gestion des flux sur proxy-app

## Informations

* [ ] cluster concerné (Kubedev, KubePreprod) :KubePreprod
  * Nom du namespace demandeur : projet-observabilite
  * Action :
  * \[\*\] ouverture
* [ ] fermeture
* [ ] Liste des noms de domaine :
  * cdn.matomo.cloud
  * contact.eloquant.cloud
  * fonts.gstatic.com
  * fonts.googleapis.com
  * www.gstatic.com



  * Informations complémentaires : En vous remerciant par avance.
*"
133;[KubeDMZ] Demande d'augmentation de ressources pour projet-iahs-keycloak-x509;"Bonjour, en vue du passage en prod, 

pouvez vous ajuster les resources à:

- requests: cpu: 600m, memory: 2.1Gi

- limits: cpu: 2.1, memory: 4.1Gi

(2 pods KC + initContainers)

Merci"
134;[projet-oscar4] Pods des CronJobs supprimés automatiquement;"## Résumé

- Description : Bonjour, chaque jour, le CronJob d'Oscar sur KubeDev et KubeProd crée correctement un Job, qui lance un Pod. Le Pod exécute bien le traitement et contient les logs. Cependant, j’ai constaté que le Pod disparaît automatiquement après un certain temps. Est-ce que c'est un comportement normal et si non, est-ce que vous connaissez un moyen d'empêcher la suppression de ces pods ?

Merci d'avance.

## Détails utiles

- Namespace : projet-oscar4
- Application/Pod : oscar4"
135;[Demande Evolution chart générique] Tolérer expressions dans extraEnvs deployment;"Bonjour,

une petite demande d'évolution du chart générique avec un besoin de pouvoir passer des expressions tpl dans les extraEnvs du deployement.yaml

J'espère être au bon endroit, merci à vous

Précision sur le besoin: pouvoir alimenter des variables d'environnement à partir de valeurs dans des secrets existants créés par le chart cnpg de Persistance des données



*"
136;[projet-urba-dc] problème de droits pour un workflow argoWorkflow;"En tant qu'utilisateur,
je souhaite déployer un serviceAccount avec les droits argo-default et patch sur deployments/scale et statefulsets/scale
afin de déployer des workflow de backup d'une application qui scale down pendant le backup.

Sur Kubedev, le modèle fonctionne en ajoutant un rôle et un roleBinding pour le serviceAccount argo-default via kubectl mais ne fonctionne pas avec ARgoCD.
Impossible de créer un serviceAccount dédié avec un roleBinding vers le rôle argo-default et le rôle custom.

L'exemple de ce qui ne fonctionne pas via ArgopCD ou via kubectl :
- https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/blob/main/apps/glpi-backups/kubedev/glpi-backup-role.yaml?ref_type=heads
- https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/blob/main/apps/glpi-backups/kubedev/glpi-backup-wf-serviceAccount.yaml?ref_type=heads
- https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/blob/main/apps/glpi-backups/kubedev/glpi-wf-backup-rolebinding.yaml?ref_type=heads

L'exemple de ce qui fonctionne en kubectl et pas via ArgoCD sur kubedev 
- https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/blob/main/apps/glpi-backups/kubedev-test/glpi-wf-backup-role.yaml?ref_type=heads
- https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/blob/main/apps/glpi-backups/kubedev-test/glpi-wf-backup-rolebinding.yaml?ref_type=heads"
137;[projet-metadonnees] Augmentation du CPU;"En tant que pilote produit du produit RMéS, je souhaite plus de CPU disponible sur notre environnement kubedev. Nous avons beoin d'un request de 6g et d'un limit de 8g


Définition du DONE:

* le cluster kubedev de projet-metadonnees a un cpu request de 6g et un cpu limit de 8g"
138;Problème de flux, appel api compas;"## Résumé

- Description : Problème de flux
- Impact utilisateur : Critique

## Détails utiles

- Cluster : kubeprod
- Namespace : projet-compas
- Application/Pod : compas
- Logs utiles : 

org.springframework.web.client.ResourceAccessException: I/O error on POST request for ""https://api.github.com/graphql"": Unable to tunnel through proxy. Proxy returns ""HTTP/1.1 403 Forbidden"""
139;Pipeline de promotion application erreur git clone au début;"## Résumé

- Description : Pipeline de promotion application erreur `git clone` lors d'un déclenchement manuel
- Impact utilisateur : Moyen

## Détails utiles

- Namespace : projet-urba-dc
- Application/Pod : Pipeline de promotion application (`.template.deploy_my_application`)
- Logs utiles :
  - [git clone https://${CI_ACCESS_REPO_USERNAME}:${CI_ACCESS_REPO_PASSWORD}@gitlab.insee.fr/${UPSTREAM_PROJECT_PATH}.git --branch $UPSTREAM_PROJECT_BRANCH ...](https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/jobs/11092526#L30)
  - [fatal: Remote branch --single-branch not found in upstream origin](https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/jobs/11092526#L33)
- Métriques utiles : 
- Incidents similaires : 

## Historique

- 2025/10/20 17:00 : première tentative d'utilisation du Pipeline"
140;Atelier ForumKube : construction d'une image React;"En tant que dév du forum Kube, je souhaite être accompagné par l'équipe KubeApp pour mettre en place une image Docker pour les applications React qui respectent les règles suivantes :
- image readonly
- avoir les en-têtes de sécurité satisfaisant les demandes de DSMR
- réfléchir à l'abandon de `Nginx` pour utiliser `static web server` qui a l'avantage de générer des images environ 10 fois plus petites"
141;Demande d'évolution du template gitops-updater;Actuellement, le template gitops-update permet de mettre à jour le dépôt gitops depuis le dépôt de code source de l'application? Cela passe par une MR sur le dépôt gitops, qui peut être automerge.Si on exécute le template 2 fois de manière rapprochée (par exemple pour mettre à jour le dépôt gitops sur 2 environnements différents), une des deux MR ne peut pas être automerge, elle doit être rebase, de manière manuelle. L'utilisateur ne s'en pas forcément compte car l'exécution de son pipeline a réussi, il va donc croire que son application va se déployer. Et deuxièmement, ça réduit l'intérieur du template dont le but était d'éviter d'aller faire des modifications manuelles dans le dépôt gitops.
142;"[kubeDev]: suppression du namepace ""projet-perret""";"En tant qu'équipe de dev et de maintenance du namespace ""projet-perret"", je souhaite que le namespace soit supprimé, le ménage a déjà été fait de notre côté (plus aucun pods, ingress, au pvc qui traine)


**:warning: Il faut seulement supprimer le namespace ""projet-perret"" dans l'environnement KubeDev** (on garde préprod pour l'instant)

Pour information, Tout a été migré dans le namespace ""projet-traiter"" excepté la pré-prod qui nous sert encore pour des tests de charge"
143;[KubePreprod] [KubeProd] Augmentation limits ephemeral storage projet-traiter;"En tant que développeur sur traiter, je souhaite augmenter la limite d'ephemeral storage sur projet-traiter en preprod et en prod pour pouvoir déployer des microservices de contrôles R pour Perret.

<!-- Utiliser les tâches pour découper en sous-élements -->

Définition du DONE:

* Augmenter la limit ephemeral storage de projet-traiter sur kubepreprod à 5 Go
* Augmenter la limit ephemeral storage de projet-traiter sur kubeprod à 5 Go"
144;Demande de namespace projet-observabilite sur KubePP;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubePP
- Nom du namespace : observabilite
- lien vers dépôt gitlab des fichiers de déploiement :https://gitlab.insee.fr/domaine-production-informatique/observabilite/equipe_observabilite/applications/-/tree/main/apps?ref_type=heads
- timbre de la division métier propriétaire de l'application déployée : observabilite
- timbre de l'équipe de maintenance : observabilite
- Adresse mail de l'équipe pour envoi des alertes : dsi-observabilite@insee.fr
- quartier de l'application déployée dans ce namespace : AP
- liste idep à ajouter sur sugoi pour l'initialisation : F8PWP3 HNIPOZ
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 10 
        - limits :20
    - mémoire :
        - requests : 10Gi
        - limits : 20Gi
    - Storage :
        - requests : 4Gi


- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
145;Demande d'ouverture de flux sur des noms de domaines;"Demande de gestion des flux sur proxy-app

## Informations

- cluster concerné (Kubedev, KubePreprod, KubeProd, KubeDMZ ou KubePPDMZ) : Kubedev
- Nom du namespace demandeur :
- Action :
 - [*] ouverture
 - [ ] fermeture
- Liste des noms de domaine :
  - contact.eloquant.cloud
  - fonts.gstatic.com
  - www.gstatic.com

- Informations complémentaires : Pouvez-vous ouvrir ces flux pour les besoins d'un test qui se déroulera le mardi 21 octobre de 8h à 12h. Le problème rencontré dans le test précédent a été identifier. Ce test servira à confirmer la faisabilité de la mise en place des futures QoE sur les Synthetics Monitor s'appuyant sur des multi-dépendances. En vous remerciant par avance."
146;"[S3-onboarding] Token invalide lorsque l'on passe via le lien ""Connexion WinSCP""";"## Résumé

- Description : Incident sur s3-onboarding
- Impact utilisateur : Moyen

## Détails utiles

- Namespace : projet-filiere-enquete-integration
- Application/Pod : S3 onboarding
- Logs utiles : 
- Métriques utiles : 
- Incidents similaires : 

## Historique

- 2025-10-16 12h08: Début de l'incident


Au moment de la connexion en cliquant sur ""Connexion WinSCP"" depuis s3-onboarding que ce soit sur KubeDev et ou KubeProd, on obtient l'erreur suivante

![image](/uploads/5eadd1bfe275616627b66a5626c4711f/image.png)

Par contre en passant via Powershell via la copie de commande ça fonctionne.

Cet incident ne semble toucher qu'une personne (/cc @US7RNB), je n'ai pas le problème de mon côté."
147;[SIRENE] Création namespace kubedmz;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : **KubeDMZ**
- Nom du namespace : `projet-sndi-re`
- lien vers dépôt gitlab des fichiers de déploiement : `https://gitlab.insee.fr/repertoire-des-entreprises/sirene/source/depot-gitops.git`
- Adresse mail de l'équipe pour envoi des alertes : `dr44-sndi-sirene4@insee.fr`
- quartier de l'application déployée dans ce namespace : RE
- liste idep à ajouter sur sugoi pour l'initialisation : `EQRMNW` et `A2TMCF`
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40

```yaml
ressourcequotas:
    limits:
      cpu: 3
      memory: 5Gi
      ephemeralStorage: 500Mi
    request:
      cpu: 500m
      memory: 500Mi
      storage: 200Mi
      ephemeralStorage: 10Mi
```

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
148;[ESTANP] Ajout batch Estanp kubeprod;"Demande d'ajout ou de suppression d'une application au déploiement Gitops

## Informations

- Je demande : 
    - [x] Un ajout
    - [ ] Une Suppression
- Il s'agit d'un dépôt GitOps en mode app of apps : [ ]
- Cluster : kubeprod
- Namespace : projet-estanp
- Lien vers le répertoire GIT : 
  - [estanp batch](https://gitlab.insee.fr/sndip_statistiques_industrielles/refonte-dessin/calcul-et-validation/estanp-argocd/-/tree/main/batchs/prod?ref_type=heads)

Pouvez vous me donner l'url d'argoworkflow de prod au passage?

Merci,

Agathe"
149;[KubeDMZ] demande d'ouverture de flux;"Depuis le namespace projet-iahs-keycloak-x509 j'aurai besoin d'accéder à l'url https://crl.certigna.fr/servicesca.crl afin que KC puisse vérifier la non révocation des certificats clients

Merci"
150;Demande de namespace projet-urba-dc sur KubeProd;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeProd
- Nom du namespace : projet-urba-dc
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/tree/main/argocd-apps/kubeprod?ref_type=heads
- timbre de la division métier propriétaire de l'application déployée : DG75-D110
- timbre de l'équipe de maintenance : DG75-D110
- Adresse mail de l'équipe pour envoi des alertes : dsi-archi@insee.fr
- quartier de l'application déployée dans ce namespace : UT
- liste idep à ajouter sur sugoi pour l'initialisation : NCK6CN, HDBU6A, S7YNRC, KFKRML, Y8J19F
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 3 
        - limits : 6
    - mémoire :
        - requests : 2Gi
        - limits : 6Gi
    - Storage :
        - requests : 50Gi
    - Ephemeral Storage :
        - requests : 100Mi
        - limits : 1Gi"
151;Demande de namespace projet-urba-dc sur KubePP;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubePP
- Nom du namespace : projet-urba-dc
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/tree/main/argocd-apps/kubepreprod?ref_type=heads
- timbre de la division métier propriétaire de l'application déployée : DG75-D110
- timbre de l'équipe de maintenance : DG75-D110
- Adresse mail de l'équipe pour envoi des alertes : dsi-archi@insee.fr
- quartier de l'application déployée dans ce namespace : UT
- liste idep à ajouter sur sugoi pour l'initialisation : NCK6CN, HDBU6A, S7YNRC, KFKRML, Y8J19F
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 3 
        - limits : 6
    - mémoire :
        - requests : 2Gi
        - limits : 6Gi
    - Storage :
        - requests : 50Gi
    - Ephemeral Storage :
        - requests : 100Mi
        - limits : 1Gi"
152;[am3ds-dsn-prod][KubeProd] Augmentation de quota s3;"En tant que pilote de l'opération d'interconnexion am3ds dsn, je souhaiterais une augmentation du quota s3 à 200Go pour le bucket projet-am3ds-dsn du s3 kubeprod

Définition du DONE:
* Avoir un quota de 200Go pour le bucket projet-am3ds-dsn du s3 kubeprod

Merci d'avance"
153;Modification des droits d'accès au namespace pour Profiam en dév;"En tant que responsable de Résil/Am3ds, je souhaite la modification des participants d'un groupe Sugoi de profiam en dév

[Pour le cluster de dév](https://gestion-comptes-utilisateurs.insee.fr/realm/SSP/applications/k8s-dev), dans le groupe `profiam_K8S-DEV`
* Retirer l'idep suivant : `MNEL1A`
* Ajouter l'idep suivant : `vxuxi5`

cc @vxuxi5"
154;Création d'un groupe d'accès en lecture seule au S3 d'Am3ds;"En tant que responsable de Résil/Am3ds, je souhaite la création d'un groupe nouveau Sugoi :
* non autogéré :warning: 
* qui permet un accès en lecture seule au S3 d'Am3ds
* si j'ai bien compris la nomenclature, il doit avoir le nom suivant : `am3ds_data_ro_K8S-<environnement>`
* pour les environnements de `dv`, `pp` et `pd`
* et qui contient l'utilisateur suivant :
    * Romain Avouac @etgtk6
* il faudrait également retirer cet utilisateur des groupes `am3ds_K8S-<environnement>` pour les environnement de dv, pp et pd"
155;Demande de quota sur kubedev BRPP;"En tant que membre de l'équipe de maintenance BRPP, je souhaite que vous augmentiez les quotas suivants dans le namespace projet-brpp3 de kubedev afin de pouvoir installer un elasticsearch avec kibana :

```md
Resource                    Used    Hard
--------                    ----    ----
limits.cpu                  3250m   10
limits.ephemeral-storage    250Mi   500Mi ======> 20 Gi
limits.memory               8692Mi  30Gi
requests.cpu                351m    4
requests.ephemeral-storage  31Mi    120Mi ======> 10 Gi
requests.memory             1162Mi  4Gi
requests.storage            40Mi    50Mi =======> 10 Gi
```

Merci"
156;[KubeDMZ] demande d'augmentation de ressources pour projet-iahs-keycloak-x509;"Afin de suivre les recommandations de ressources, pouvez vous augmenter le ""Max RAM (Limits)"" à 2Go et le ""Max EphemeralStorage (Requests)"" à 200Mo sur kubedmz/projet-iahs-keycloak-x509 ?

Merci"
157;[Conjoncture] Demandes de micro segmentation;"Demande de mise en place de microsegmentation Kubernetes

## KubeDev

- cluster concerné : KubeDev
- Nom du namespace : projet-conjoncture
- liste des IPS à protéger
  - dvconj2lg001 : 10.217.96.10
  - dvconj2lg002 : 10.217.96.18
  - dvconj2lg003 : 10.217.96.20
  - dvconj2lg004 : 10.217.96.69

## KubeProd

- cluster concerné : KubeProd
- Nom du namespace : projet-conjoncture
- liste des IPS à protéger : **pdconj2lg001 (10.203.96.7)**


**Question** : est-ce qu'il s'agit uniquement de créer des fichiers de ce type ? (https://gitlab.insee.fr/kubernetes/dev/applications/ip-restriction/-/blob/main/dvanalyzerlg001.yaml?ref_type=heads) Si oui, préférez-vous qu'on fasse des MR directement plutôt qu'un ticket ?"
158;demande augmentation quota;"En tant que membre de l'equipe observabilité, je souhaite que vous augmentiez le quota ram et cpu SVP.
sur le namespace observabilite de kubePord

CPU 20
memoire 20

Définition du DONE:

CPU 20
memoire 20 


Merci d'avance"
159;Demande d'ajout application gitops app-of-apps pour projet-pdd;"Bonjour
Demande d'ajout ou de suppression d'une application au déploiement Gitops

## Informations

- Je demande : 
    - [X] Un ajout
    - [ ] Une Suppression
- Il s'agit d'un dépôt GitOps en mode app of apps : [X]
- Cluster :kubedev
- Namespace :projet-pdd
- Lien vers le répertoire GIT : https://gitlab.insee.fr/persistancedesdonnees/kube-pdd-app/-/tree/main/argocd-apps/kubedev?ref_type=heads
Merci par avance"
160;[am3ds-dsn-prod][KubeProd] Augmentation de quota pvc;"En tant que maintenicien de l'application ARC mutualisée, je souhaite une augmentation de quota pvc dans le namespace projet-am3ds-dsn-prod du cluster KubeProd.

Bonjour, je demande cette augmentation car on sera trop juste pour héberger 3 mois de données. Merci

Définition du DONE:
* Quota pvc à 1100Go dans le namespace am3ds-dsn-prod."
161;Demande d'ajout application gitops app-of-apps pour projet-archi-urba-dc;"Demande d'ajout ou de suppression d'une application au déploiement Gitops

## Informations

- Je demande : 
    - [x] Un ajout
    - [ ] Une Suppression
- Il s'agit d'un dépôt GitOps en mode app of apps : [x]
- Cluster : KubeDev
- Namespace : projet-archi-urba-dc
- Lien vers le répertoire GIT : https://gitlab.insee.fr/architecture-applicative/urba-dc/depot-gitops/-/tree/main/argocd-apps/kubedev?ref_type=heads"
162;[projet-apisirene][kubePreprod] Création/changement de namespace;"Bonjour,

Dernière demande pour harmoniser les namespaces de l'API Sirene suite à
https://gitlab.insee.fr/kubernetes/kubeapp/suivi-des-demandes/-/issues/323
Il reste donc à créer le namespace sur KubePreprod (et supprimer l'appli gitops du namespace projet-hd).
Concernant le namespace projet-hd sur PP, il n'aura donc plus d'appli Gitops pour le moment, pouvez-vous le conserver avec ressources minimales/nulles ou est-ce qu'il faudra refaire une demande le jour où on voudra une appli Gitops côté Haute-Dispo ?

---

La demande :

Pouvez-vous créer le namespace projet-apisirene sur KubePreprod avec les valeurs suivantes, svp :

* cluster concerné : Kubepreprod
* Nom du namespace : projet-apisirene
* lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/groupe-haute-disponibilite/sirene-diffusion/gitops-sirene-diffusion/-/tree/main/argocd-apps/kubeprepod?ref_type=heads
* timbre de la division métier propriétaire de l'application déployée : DG75-H160
* timbre de l'équipe de maintenance : DR44-SNDI
* Adresse mail de l'équipe pour envoi des alertes : dr44-sndi-diffusion-sirene@insee.fr
* quartier de l'application déployée dans ce namespace : RE
* liste idep à ajouter sur sugoi pour l'initialisation : ISCEQ4 G2DU4B FR57MD SVVBQS MNQ4AD UIOPW3
* Ressources nécessaires :

```yaml
  ressourcequotas:
    maxPods: 40
    limits:
      cpu: 80
      memory: 250Gi
      ephemeralStorage: 30Gi
    request:
      cpu: 40
      memory: 120Gi
      storage: 1000Gi
      ephemeralStorage: 5Gi
```"
163;Demande de création de namespace Ariege;"Demande de création de namespace

## Informations

- cluster concerné : KubeProd
- Nom du namespace : Ariege
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/etudes-et-syntheses/ariege/Ariege-Deployment/-/tree/main/argocd-apps
- timbre de la division métier propriétaire de l'application déployée : DG75-G430
- timbre de l'équipe de maintenance : DG75-D280
- Adresse mail de l'équipe pour envoi des alertes : dg75-dsi-maintenance-ariege@insee.fr
- quartier de l'application déployée dans ce namespace : CN
- liste idep à ajouter sur sugoi pour l'initialisation : MRWUEM, FI9244
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 20
    - Nombre de cpu :
        - requests : 2 
        - limits : 10
    - mémoire :
        - requests : 5Gi
        - limits : 20Gi
    - Storage :
        - requests : 100Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 500Mi


- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
164;Demande de création de namespace projet-nautile;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubePP, KubeProd
- Nom du namespace : projet-nautile
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/Individus-et-logements/nautile-v2/nautile-gitops
- timbre de la division métier propriétaire de l'application déployée : DG75-L110
- timbre de l'équipe de maintenance : DR45-SNDI
- Adresse mail de l'équipe pour envoi des alertes : dr45-sndi-nautile@insee.fr
- quartier de l'application déployée dans ce namespace : MN
- liste idep à ajouter sur sugoi pour l'initialisation : SNV23A, FVZLKC, ZHSNYU, SJ9I86
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 100Mi
        - limits : 4Gi
    - Storage :
        - requests : 5Gi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 100Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
165;décommissionner un namespace projet : projet-gie-outsider;En tant qu'utilisateur de cluster, je souhaite supprimer un namespace projet : projet-gie-outsider
166;demande namespace projet-filiere-integration-enquetes;"Demande de création de namespace

## Informations

- cluster concerné  : KubeDev, KubeProd
- Nom du namespace : projet-filiere-integration-enquetes
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/sndi-lille/groupe-informatisation-des-enqu-tes/tools/gitops/gitops-template
- timbre de la division métier propriétaire de l'application déployée : DR59-SNDI59
- timbre de l'équipe de maintenance : DR59-SNDI59
- Adresse mail de l'équipe pour envoi des alertes : dr59-sndi-cpie@insee.fr
- quartier de l'application déployée dans ce namespace : ST
- liste idep à ajouter sur sugoi pour l'initialisation : io1h80, KEM2M1 
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 100Mi
        - limits : 1Gi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 100Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
167;[Kubedev] [projet-aida] Accès au minio projet-plateforme-de-donnees;"Bonjour,

Les applicatifs du namespace Aïda ont besoin d'accéder en lecture seule au bucket du projet-plateforme-de-donnees.  

Je ne sais pas s'il faut des credentials spécifiques ou si je peux utiliser celui par défaut : sa-projet-aida-ro ?"
168;demande namespace editique;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeDev
- Nom du namespace : projet-editique
- lien vers dépôt gitlab des fichiers de déploiement :
- timbre de la division métier propriétaire de l'application déployée : 
- timbre de l'équipe de maintenance : 
- Adresse mail de l'équipe pour envoi des alertes :
- quartier de l'application déployée dans ce namespace :ut
- liste idep à ajouter sur sugoi pour l'initialisation :ri3aen
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :1000m
    - mémoire :
        - requests : 100Mi
        - limits : 1Gi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 100Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

/!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)"
169;[SIRH][Kubedev/prod] Passage en app-of-apps;"Demande de passage en mode app of apps en production

## Informations

Bonjour,
Nous aimerions passer en app-of-apps en prod, cependant nous n'avons qu'un repo pour l'ensemble de nos appli/namespaces, ce qui fait que je ne vois pas exactement comment coller à l'[exemple de la documentation](https://gitlab.insee.fr/kubernetes/kubeapp/templates/gitops-template). 

- Cluster : KubeProd (normalement on est déjà en app of apps sur kubedev)
- Namespace : Mobilite;sirh;carriere;pilotage
- Lien vers le répertoire GIT : https://gitlab.insee.fr/ressources-humaines/outils/rh-deploy
- applications concernées : 
  - sirh : 
    - apirh-interne
    - apirh-externe
    - trombi
   - carriere : 
     - api-parcours
     - ihm-parcours
   - pilotage : 
     - ihm-equilibre
     - api-equilibre
     - api-base-ressources
     - ihm-base-ressources
     - api-donnees-pilot
     - referentiel-pilot
   - mobilite : 
     - api-mobilites
     - ihm mobilites

Je ne sais pas si dans le dossier argocd-apps/kubeprod, il est possible d'avoir soit des sous répertoires avec les différentes applis donc : 
argocd-apps/kubeprod/carriere avec un chart.yaml et un values.yaml

et un 

argocd-apps/kubeprod/mobilite avec un chart.yaml et un values.yaml
....

Ou si il est possible dans le values.yaml de mettre plusieurs appli de plusieurs namespaces et si c'est le cas, a quoi correspond le project."
